file,emotions,objects,colors,depths
Post_Impressionism/paul-cezanne_the-drinker-1891.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.25), amusement (probability: 0.19).",there is a table in the left. there is a man in the center. there is a bottle in the top left. there is a fruit in the left. there is a hat in the top. there is a cigarette in the top,"The main colors are: saddlebrown, lightgray, black","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.23 (with moderate variation, std ≈ 0.21).
Most pixels fall into the **near** depth band (77.3% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 77.3% of pixels
  • Mid [0.33–0.67]: 17.2% of pixels
  • Far [0.67–1.00]: 5.0% of pixels"
Mannerism_Late_Renaissance/giorgio-vasari_pope-clement-vii-1478-1534-marrying-catherine-de-medici-1519-1589-and-henri-ii-of-france-1519.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.57), contentment (probability: 0.20).",there is a building in the center,"The main colors are: darkolivegreen, darkkhaki, dimgray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.39 (with moderate variation, std ≈ 0.17).
Most pixels fall into the **mid** depth band (50.2% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 42.1% of pixels
  • Mid [0.33–0.67]: 50.2% of pixels
  • Far [0.67–1.00]: 7.7% of pixels"
Realism/ilya-repin_hunchback-study-1880.jpg,"The viewer is likely to associate the following emotions with the image: sadness (probability: 0.37), contentment (probability: 0.27).",there is a cane in the right. there is a woman in the center,"The main colors are: sienna, darkolivegreen, rosybrown","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.45 (with moderate variation, std ≈ 0.21).
Most pixels fall into the **mid** depth band (50.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 31.6% of pixels
  • Mid [0.33–0.67]: 50.9% of pixels
  • Far [0.67–1.00]: 17.5% of pixels"
Ukiyo_e/utagawa-kuniyoshi_sato-tadanobu-a-samurai-of-the-twelfth-century-defending-himself-with-a-goban-whan-attacked-by.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.27), amusement (probability: 0.17).",there is a art in the center. there is a computer in the top right,"The main colors are: black, gray, darkolivegreen","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.32 (with moderate variation, std ≈ 0.22).
Most pixels fall into the **near** depth band (54.6% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 54.6% of pixels
  • Mid [0.33–0.67]: 38.9% of pixels
  • Far [0.67–1.00]: 6.5% of pixels"
Realism/henri-de-toulouse-lautrec_bust-of-a-nude-man.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.23), awe (probability: 0.19).",there is a artist in the center,"The main colors are: saddlebrown, darkkhaki, black","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.28 (with moderate variation, std ≈ 0.20).
Most pixels fall into the **near** depth band (69.0% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 69.0% of pixels
  • Mid [0.33–0.67]: 24.0% of pixels
  • Far [0.67–1.00]: 7.1% of pixels"
Abstract_Expressionism/sam-francis_firewood-1973.jpg,"The viewer is likely to associate the following emotions with the image: excitement (probability: 0.22), something else (probability: 0.13).",there is a art in the center,"The main colors are: darkslategray, lightgray, indianred","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.57 (with moderate variation, std ≈ 0.32).
Most pixels fall into the **far** depth band (47.1% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 34.3% of pixels
  • Mid [0.33–0.67]: 16.6% of pixels
  • Far [0.67–1.00]: 47.1% of pixels"
Northern_Renaissance/lucas-cranach-the-elder_samson-s-fight-with-the-lion-1525.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.18), disgust (probability: 0.15).",there is a woman in the center. there is a lion in the center. there is a lamb in the center,"The main colors are: dimgray, darkslategray, silver","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.33 (with moderate variation, std ≈ 0.22).
Most pixels fall into the **near** depth band (60.8% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 60.8% of pixels
  • Mid [0.33–0.67]: 28.0% of pixels
  • Far [0.67–1.00]: 11.1% of pixels"
Romanticism/francisco-goya_duchess-of-alba-the-white-duchess-1795.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.30), amusement (probability: 0.22).",there is a dog in the left. there is a dress in the right,"The main colors are: dimgray, darkgray, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.41 (with moderate variation, std ≈ 0.21).
Most pixels fall into the **mid** depth band (50.6% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 37.3% of pixels
  • Mid [0.33–0.67]: 50.6% of pixels
  • Far [0.67–1.00]: 12.0% of pixels"
Art_Nouveau_Modern/carlos-saenz-de-tejada_don-juan-tenorio-seville-street-1946.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.39), contentment (probability: 0.22).",there is a building in the center. there is a person in the right. there is a curtain in the top right. there is a person in the right. there is a person in the right. there is a stair in the center. there is a stair in the center. there is a curtain in the top. there is a curtain in the top right,"The main colors are: darkslategray, silver, gray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.52 (with moderate variation, std ≈ 0.24).
Most pixels fall into the **mid** depth band (38.2% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 27.8% of pixels
  • Mid [0.33–0.67]: 38.2% of pixels
  • Far [0.67–1.00]: 34.0% of pixels"
Symbolism/gustave-moreau_arabian-poet-persian-1886.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.27), awe (probability: 0.20).",there is a horse in the right. there is a person man in the center. there is a angel in the top. there is a sword in the top right,"The main colors are: darkslategray, darkgray, dimgray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.36 (with moderate variation, std ≈ 0.24).
Most pixels fall into the **near** depth band (52.4% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 52.4% of pixels
  • Mid [0.33–0.67]: 31.7% of pixels
  • Far [0.67–1.00]: 15.8% of pixels"
Romanticism/caspar-david-friedrich_the-abbey-in-the-oakwood.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.33), sadness (probability: 0.23).",there is a building in the bottom left. there is a tree in the bottom left. there is a tree in the bottom left. there is a tree in the bottom. there is a tree in the bottom. there is a graveyard in the bottom left. there is a tree in the bottom. there is a person in the bottom left,"The main colors are: darkslategray, tan, gray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.46 (with moderate variation, std ≈ 0.26).
Most pixels fall into the **near** depth band (38.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 38.9% of pixels
  • Mid [0.33–0.67]: 32.6% of pixels
  • Far [0.67–1.00]: 28.5% of pixels"
Northern_Renaissance/albrecht-durer_all-saints-picture-1511.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.45), contentment (probability: 0.15).",there is a builder in the top. there is a ceiling in the top. there is a robe in the left. there is a station in the center. there is a person in the right. there is a person in the right,"The main colors are: darkslategray, sienna, tan","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.45 (with moderate variation, std ≈ 0.27).
Most pixels fall into the **near** depth band (40.5% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 40.5% of pixels
  • Mid [0.33–0.67]: 34.8% of pixels
  • Far [0.67–1.00]: 22.0% of pixels"
Realism/thomas-eakins_portrait-of-sebastiano-cardinal-martinelli-1902.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.30), sadness (probability: 0.19).",there is a armchair in the right. there is a stool in the center. there is a stool in the right. there is a man in the center. there is a dress in the center. there is a robe in the right. there is a dress in the center,"The main colors are: black, saddlebrown, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.18 (with moderate variation, std ≈ 0.11).
Most pixels fall into the **near** depth band (89.5% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 89.5% of pixels
  • Mid [0.33–0.67]: 10.2% of pixels
  • Far [0.67–1.00]: 0.3% of pixels"
High_Renaissance/luca-signorelli_the-last-judgment-the-right-part-of-the-composition-the-damned-consigned-to-hell-the-left-part-1502.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.59), contentment (probability: 0.15).",there is a building in the center. there is a altar in the bottom. there is a sculpture in the center,"The main colors are: gray, tan, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.49 (with moderate variation, std ≈ 0.25).
Most pixels fall into the **mid** depth band (40.3% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 31.3% of pixels
  • Mid [0.33–0.67]: 40.3% of pixels
  • Far [0.67–1.00]: 28.2% of pixels"
Realism/edouard-manet_eel-and-red-mullet-1864.jpg,"The viewer is likely to associate the following emotions with the image: sadness (probability: 0.19), disgust (probability: 0.17).",there is a knife in the bottom left. there is a cloth in the bottom. there is a eel in the center,"The main colors are: maroon, silver, peru","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.34 (with moderate variation, std ≈ 0.28).
Most pixels fall into the **near** depth band (59.4% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 59.4% of pixels
  • Mid [0.33–0.67]: 20.6% of pixels
  • Far [0.67–1.00]: 20.0% of pixels"
Abstract_Expressionism/joan-miro_not_detected_227940.jpg,"The viewer is likely to associate the following emotions with the image: amusement (probability: 0.21), contentment (probability: 0.15).",there is a art in the center,"The main colors are: dimgray, darkslategray, silver","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.28 (with moderate variation, std ≈ 0.21).
Most pixels fall into the **near** depth band (64.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 64.9% of pixels
  • Mid [0.33–0.67]: 29.5% of pixels
  • Far [0.67–1.00]: 5.6% of pixels"
Baroque/peter-paul-rubens_the-victory-of-eucharistic-truth-over-heresy.jpg,"The viewer is likely to associate the following emotions with the image: sadness (probability: 0.32), awe (probability: 0.20).",there is a artist in the left. there is a pillar in the left. there is a person in the bottom. there is a person in the top. there is a artist in the bottom left. there is a pillar in the right,"The main colors are: dimgray, black, rosybrown","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.34 (with moderate variation, std ≈ 0.24).
Most pixels fall into the **near** depth band (54.0% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 54.0% of pixels
  • Mid [0.33–0.67]: 34.5% of pixels
  • Far [0.67–1.00]: 11.5% of pixels"
Rococo/bernardo-bellotto_view-of-warsaw-from-praga-1770-1.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.47), contentment (probability: 0.32).",there is a water in the bottom. there is a boat in the bottom. there is a boat in the bottom. there is a person in the bottom left. there is a boat in the bottom. there is a boat in the bottom. there is a city in the bottom. there is a person in the bottom left,"The main colors are: darkslategray, lightgray, gray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.54 (with moderate variation, std ≈ 0.28).
Most pixels fall into the **far** depth band (40.6% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 28.7% of pixels
  • Mid [0.33–0.67]: 30.4% of pixels
  • Far [0.67–1.00]: 40.6% of pixels"
Post_Impressionism/paul-gauguin_dogs-running-through-a-field-1888.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.57), awe (probability: 0.17).",there is a farmhouse in the top right. there is a grass in the center. there is a tree in the top. there is a tree in the top. there is a tree in the top left. there is a artist in the right. there is a tree in the top right,"The main colors are: darkolivegreen, silver, sienna","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.41 (with moderate variation, std ≈ 0.26).
Most pixels fall into the **near** depth band (45.3% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 45.3% of pixels
  • Mid [0.33–0.67]: 30.9% of pixels
  • Far [0.67–1.00]: 23.8% of pixels"
Symbolism/felicien-rops_illustration-of-les-diaboliques-3.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.22), fear (probability: 0.18).",there is a man in the top. there is a woman in the center. there is a woman in the top right,"The main colors are: gray, dimgray, darkgray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.56 (with moderate variation, std ≈ 0.17).
Most pixels fall into the **mid** depth band (51.7% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 13.8% of pixels
  • Mid [0.33–0.67]: 51.7% of pixels
  • Far [0.67–1.00]: 34.6% of pixels"
Realism/m.c.-escher_san-gimignano.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.30), contentment (probability: 0.20).",there is a tower in the top left. there is a image photo in the left. there is a tower in the top left,"The main colors are: black, gainsboro, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.24 (with moderate variation, std ≈ 0.31).
Most pixels fall into the **near** depth band (77.4% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 77.4% of pixels
  • Mid [0.33–0.67]: 8.4% of pixels
  • Far [0.67–1.00]: 10.3% of pixels"
Art_Nouveau_Modern/konstantin-somov_book-of-the-marquise-illustration-5-1918.jpg,"The viewer is likely to associate the following emotions with the image: amusement (probability: 0.25), awe (probability: 0.15).",there is a cartoon in the left. there is a man in the center. there is a woman in the center. there is a woman in the center,"The main colors are: gray, lightgray, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.60 (with moderate variation, std ≈ 0.29).
Most pixels fall into the **far** depth band (62.3% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 24.8% of pixels
  • Mid [0.33–0.67]: 12.9% of pixels
  • Far [0.67–1.00]: 62.3% of pixels"
Cubism/raoul-dufy_the-trapeze-artists-1922.jpg,"The viewer is likely to associate the following emotions with the image: excitement (probability: 0.22), awe (probability: 0.15).",there is a woman in the center. there is a umbrella in the top right. there is a person woman in the top right. there is a umbrella in the top right. there is a sunshade in the top left. there is a umbrella in the top. there is a dress in the top right,"The main colors are: sienna, rosybrown, darkslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.38 (with moderate variation, std ≈ 0.25).
Most pixels fall into the **near** depth band (49.5% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 49.5% of pixels
  • Mid [0.33–0.67]: 33.7% of pixels
  • Far [0.67–1.00]: 16.8% of pixels"
Ukiyo_e/utagawa-kunisada-ii_unryu.jpg,"The viewer is likely to associate the following emotions with the image: amusement (probability: 0.42), contentment (probability: 0.17).",there is a man in the center. there is a muscle in the top right,"The main colors are: silver, dimgray, gainsboro","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.72 (with moderate variation, std ≈ 0.27).
Most pixels fall into the **far** depth band (71.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 15.0% of pixels
  • Mid [0.33–0.67]: 12.6% of pixels
  • Far [0.67–1.00]: 71.9% of pixels"
Post_Impressionism/henri-de-toulouse-lautrec_gabrielle-the-dancer-1890.jpg,"The viewer is likely to associate the following emotions with the image: contentment (probability: 0.39), sadness (probability: 0.14).",there is a shirt in the center. there is a sun hat in the top,"The main colors are: darkgray, dimgray, gray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.56 (with moderate variation, std ≈ 0.15).
Most pixels fall into the **mid** depth band (63.2% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 9.1% of pixels
  • Mid [0.33–0.67]: 63.2% of pixels
  • Far [0.67–1.00]: 27.8% of pixels"
Ukiyo_e/utagawa-kuniyoshi_the-ghost-in-the-lantern.jpg,"The viewer is likely to associate the following emotions with the image: amusement (probability: 0.24), fear (probability: 0.18).",there is a woman in the top. there is a robe in the center. there is a ge man in the right,"The main colors are: dimgray, palegoldenrod, black","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.51 (with moderate variation, std ≈ 0.32).
Most pixels fall into the **far** depth band (36.7% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 33.5% of pixels
  • Mid [0.33–0.67]: 26.1% of pixels
  • Far [0.67–1.00]: 36.7% of pixels"
Baroque/giovanni-paolo-panini_interior-of-st-peter-s-rome-1755.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.53), contentment (probability: 0.19).",there is a building in the center. there is a pillar in the bottom left. there is a pillar in the bottom. there is a ceiling in the top,"The main colors are: darkslategray, darkgray, dimgray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.45 (with moderate variation, std ≈ 0.20).
Most pixels fall into the **mid** depth band (54.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 29.0% of pixels
  • Mid [0.33–0.67]: 54.9% of pixels
  • Far [0.67–1.00]: 15.7% of pixels"
Abstract_Expressionism/frank-lobdell_dance-iv-1970.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.16), something else (probability: 0.14).",there is a art in the center. there is a trumpet in the top left,"The main colors are: darkslategray, gainsboro, darkkhaki","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.52 (with moderate variation, std ≈ 0.33).
Most pixels fall into the **near** depth band (46.0% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 46.0% of pixels
  • Mid [0.33–0.67]: 8.0% of pixels
  • Far [0.67–1.00]: 45.3% of pixels"
Post_Impressionism/edouard-cortes_st-denis-4.jpg,"The viewer is likely to associate the following emotions with the image: awe (probability: 0.37), contentment (probability: 0.32).",there is a person in the bottom left. there is a person in the bottom left. there is a city street road in the bottom. there is a person in the bottom. there is a person in the bottom. there is a street scene in the center. there is a person in the bottom left. there is a stroll in the bottom left. there is a person in the bottom,"The main colors are: sienna, darkgray, saddlebrown","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.43 (with moderate variation, std ≈ 0.25).
Most pixels fall into the **near** depth band (38.9% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 38.9% of pixels
  • Mid [0.33–0.67]: 37.6% of pixels
  • Far [0.67–1.00]: 23.4% of pixels"
Romanticism/gustave-dore_don-quixote-5.jpg,"The viewer is likely to associate the following emotions with the image: sadness (probability: 0.25), fear (probability: 0.24).",there is a shield in the bottom. there is a horse in the left. there is a armor in the bottom left. there is a sword in the bottom right. there is a armor in the bottom. there is a person man in the left,"The main colors are: lightslategray, darkslategray, gainsboro","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.54 (with moderate variation, std ≈ 0.30).
Most pixels fall into the **mid** depth band (38.8% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 26.0% of pixels
  • Mid [0.33–0.67]: 38.8% of pixels
  • Far [0.67–1.00]: 31.1% of pixels"
Minimalism/martin-barre_76-77-c-147-5x140-1977.jpg,"The viewer is likely to associate the following emotions with the image: something else (probability: 0.26), contentment (probability: 0.20).",there is a color in the bottom right,"The main colors are: gainsboro, brown, rosybrown","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.80 (with moderate variation, std ≈ 0.23).
Most pixels fall into the **far** depth band (82.8% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 9.8% of pixels
  • Mid [0.33–0.67]: 7.2% of pixels
  • Far [0.67–1.00]: 82.8% of pixels"
Romanticism/francisco-goya_what-a-tailor-can-do-1799.jpg,"The viewer is likely to associate the following emotions with the image: fear (probability: 0.33), awe (probability: 0.16).",there is a woman in the center. there is a man in the top right. there is a cartoon in the top,"The main colors are: darkslategray, silver, lightslategray","The depth values span a full normalized range from 0 (nearest) to 1 (farthest).
On average, the depth is around 0.60 (with moderate variation, std ≈ 0.23).
Most pixels fall into the **far** depth band (53.8% of the image), while the remaining pixels are split between the other bands.

Depth distribution by band:
  • Near [0.00–0.33]: 17.0% of pixels
  • Mid [0.33–0.67]: 28.9% of pixels
  • Far [0.67–1.00]: 53.8% of pixels"
